bidNtceNo,bidNtceOrd,reNtceYn,rgstTyNm,ntceKindNm,intrbidYn,bidNtceDt,refNo,bidNtceNm,ntceInsttCd,ntceInsttNm,dminsttCd,dminsttNm,bidMethdNm,cntrctCnclsMthdNm,ntceInsttOfclNm,ntceInsttOfclTelNo,ntceInsttOfclEmailAdrs,exctvNm,bidQlfctRgstDt,cmmnSpldmdAgrmntRcptdocMethd,cmmnSpldmdAgrmntClseDt,cmmnSpldmdCorpRgnLmtYn,bidBeginDt,bidClseDt,opengDt,ntceSpecDocUrl1,ntceSpecDocUrl2,ntceSpecDocUrl3,ntceSpecDocUrl4,ntceSpecDocUrl5,ntceSpecDocUrl6,ntceSpecDocUrl7,ntceSpecDocUrl8,ntceSpecDocUrl9,ntceSpecDocUrl10,ntceSpecFileNm1,ntceSpecFileNm2,ntceSpecFileNm3,ntceSpecFileNm4,ntceSpecFileNm5,ntceSpecFileNm6,ntceSpecFileNm7,ntceSpecFileNm8,ntceSpecFileNm9,ntceSpecFileNm10,rbidPermsnYn,pqApplDocRcptMthdNm,pqApplDocRcptDt,tpEvalApplMthdNm,tpEvalApplClseDt,jntcontrctDutyRgnNm1,jntcontrctDutyRgnNm2,jntcontrctDutyRgnNm3,rgnDutyJntcontrctRt,dtlsBidYn,bidPrtcptLmtYn,prearngPrceDcsnMthdNm,totPrdprcNum,drwtPrdprcNum,asignBdgtAmt,presmptPrce,opengPlce,dcmtgOprtnDt,dcmtgOprtnPlce,bidNtceDtlUrl,bidNtceUrl,bidPrtcptFeePaymntYn,bidPrtcptFee,bidGrntymnyPaymntYn,crdtrNm,ppswGnrlSrvceYn,srvceDivNm,prdctClsfcLmtYn,mnfctYn,purchsObjPrdctList,untyNtceNo,cmmnSpldmdMethdCd,cmmnSpldmdMethdNm,stdNtceDocUrl,brffcBidprcPermsnYn,dsgntCmptYn,arsltCmptYn,pqEvalYn,tpEvalYn,ntceDscrptYn,rsrvtnPrceReMkngMthdNm,arsltApplDocRcptMthdNm,arsltReqstdocRcptDt,orderPlanUntyNo,sucsfbidLwltRate,rgstDt,bfSpecRgstNo,infoBizYn,sucsfbidMthdCd,sucsfbidMthdNm,chgDt,linkInsttNm,dminsttOfclEmailAdrs,indstrytyLmtYn,d2bMngRgnLmtYn,d2bMngPblctPlceNm,d2bMngCntrctKindNm,d2bMngCnstwkOutlnCntnts,d2bMngCnstwkPrdCntnts,d2bMngCntrybndDedtBgnDate,d2bMngCntrybndDedtEndDate,d2bMngCnstwkScleCntnts,d2bMngRsrvtnPrceBssOpenYn,d2bMngRsrvtnPrceBssAplYn,d2bMngBssamt,d2bMngUprcSstmTyNm,d2bMngRgstEvalExmpYn,d2bMngCompCorpRsrchObjYn,d2bMngOrgnlbdgtDedtBgnDate,d2bMngOrgnlbdgtDedtEndDate,d2bMngBfEvalObjYn,d2bMngBfEvalClseDt,d2bMngAssmntUplmtRt,d2bMngAssmntLwstlmtRt,d2bMngStdIndstryClsfcCdList,d2bMngPrdctnAbltySbmsnClseDt,d2bMngCnstwkLctNm,d2bMngProgrsSttusNm,d2bMngExetTyNm,d2bMngExetTyCd,d2bMngPrdlstNm,d2bMngPrdlstCd,d2bMngItemNo,d2bMngNgttnStleNm,d2bMngNgttnPlanDate,d2bMngDmndYear,d2bMngDcsnNo,d2bMngCnstwkNo,chgNtceRsn,rbidOpengDt,VAT,indutyVAT,rgnLmtBidLocplcJdgmBssCd,rgnLmtBidLocplcJdgmBssNm,atchSno,eorderDocDivNm,eorderAtchFileNm,eorderAtchFileUrl,dtilPrdctClsfcNo,dtilPrdctClsfcNoNm,prdctSpecNm,prdctQty,prdctUnit,prdctUprc,dlvrTmlmtDt,dlvrDaynum,dlvryCndtnNm,arsltApplDocRcptDt,d2bMngDcmtgOprtnDt,d2bMngDcmtgOprtnPlce,d2bMngRrsrvtnPrceBssAplYn
20230130553,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-01-30 18:02:35,부산광역시 기장군 공고 제2023-252호,"측량장비(토탈스테이션, 드론) 구매",3400000,부산광역시 기장군,3400000,부산광역시 기장군,전자입찰,수의(총액)소액-견적입찰(2인 이상 견적 제출),최희수,051-709-4148,crunch@korea.kr,최희수,2023-02-06 18:00:00,공고서참조,,N,2023-01-31 10:00:00,2023-02-07 10:00:00,2023-02-07 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230130553::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230130553::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230130553::00::2::3,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230130553::00::2::4,,,,,,,20230130553-00_1675069113665_공고문[측량장비(토탈스테이션 드론) 구입].hwp,"20230130553-00_1675069113665_과업지시서[측량장비(토탈스테이션, 드론)구매].hwp",20230130553-00_1675069113665_무타켓 토탈스테이션 규격서.hwp,20230130553-00_1675069113685_UAV사진측량시스템 규격서.hwp,,,,,,,N,,,,,,,,,,,복수예가,15,4,42000000,38181818,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230130553&bidseq=00&releaseYn=Y&taskClCd=1,,,,,기장군수,,,,N,"[1^4111161302^거리측정기],[1^2513189901^드론]",,4,공동수급불허,,N,N,,,,,,없음,,,88,2023-01-30 18:02:35,,,4,제한적최저가(낙찰하한율),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818182,,,,,,,,4111161302,거리측정기,규격서 참고,1,식,,,15,납품장소도,,,,
20230117566,00,Y,조달청 또는 나라장터 자체 공고건,일반,N,2023-01-17 20:12:56,부산광역시 기장군 공고 제2023-140호,"측량장비(토탈스테이션, 드론) 구매",3400000,부산광역시 기장군,3400000,부산광역시 기장군,전자입찰,수의(총액)소액-견적입찰(2인 이상 견적 제출),최희수,051-709-4148,crunch@korea.kr,최희수,2023-01-24 18:00:00,공고서참조,,N,2023-01-18 10:00:00,2023-01-25 10:00:00,2023-01-25 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230117566::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230117566::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230117566::00::2::3,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230117566::00::2::4,,,,,,,20230117566-00_1673953652406_재공고문[측량장비(토탈스테이션 드론) 구입].hwp,"20230117566-00_1673953714606_과업지시서[측량장비(토탈스테이션, 드론)구매].hwp",20230117566-00_1673953714626_무타켓 토탈스테이션 규격서.hwp,20230117566-00_1673953714646_UAV사진측량시스템 규격서.hwp,,,,,,,N,,,,,,,,,,,복수예가,15,4,42000000,38181818,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230117566&bidseq=00&releaseYn=Y&taskClCd=1,,,,,기장군수,,,,N,"[1^4111161302^거리측정기],[1^2513189901^드론]",,4,공동수급불허,,N,N,,,,,,없음,,,88,2023-01-17 20:12:56,,,4,제한적최저가(낙찰하한율),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818182,,,,,,,,4111161302,거리측정기,규격서 참고,1,식,,,15,납품장소도,,,,
20230110878,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-01-11 19:38:35,부산광역시 기장군 공고 제2023-102호,"측량장비(토탈스테이션, 드론) 구매",3400000,부산광역시 기장군,3400000,부산광역시 기장군,전자입찰,수의(총액)소액-견적입찰(2인 이상 견적 제출),최희수,051-709-4148,crunch@korea.kr,최희수,2023-01-16 18:00:00,공고서참조,,N,2023-01-12 10:00:00,2023-01-17 10:00:00,2023-01-17 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230110878::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230110878::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230110878::00::2::3,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230110878::00::2::4,,,,,,,"20230110878-00_1673432882721_공고문[측량장비(토탈스테이션, 드론) 구입].hwp","20230110878-00_1673432882721_과업지시서[측량장비(토탈스테이션, 드론)구매].hwp",20230110878-00_1673432882741_무타켓 토탈스테이션 규격서.hwp,20230110878-00_1673432882781_UAV사진측량시스템 규격서.hwp,,,,,,,N,,,,,,,,,,,복수예가,15,4,42000000,38181818,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230110878&bidseq=00&releaseYn=Y&taskClCd=1,,,,,기장군수,,,,N,"[1^4111161302^거리측정기],[1^2513189901^드론]",,4,공동수급불허,,N,N,,,,,,없음,,,88,2023-01-11 19:38:35,,,4,제한적최저가(낙찰하한율),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818182,,,,,,,,4111161302,거리측정기,규격서 참고,1,식,,,15,납품장소도,,,,
20221032695,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2022-10-27 12:06:24,한국농어촌공사 전남지역본부 공고 제2022-171호,첨단무인자동화 농업생산시범단지조성사업 지급자재(드론 및 드론스테이션) 제조구매,D150361,한국농어촌공사 전남지역본부,D150361,한국농어촌공사 전남지역본부,전자입찰,일반(총액),김정원,062-958-2317,kgarden@ekr.or.kr,김정원,2022-11-01 18:00:00,공고서참조,,N,2022-10-28 10:00:00,2022-11-02 10:00:00,2022-11-02 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20221032695::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20221032695::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20221032695::00::2::3,,,,,,,,"20221032695-00_1666839865550_★입찰공고문_드론,드론스테이션.hwp",20221032695-00_1666839912340_E-3. 드론시스템 규격서.hwp,20221032695-00_1666839912340_E-4. 드론스테이션 규격서.hwp,,,,,,,,Y,,,,,,,,,,,복수예가,15,4,355529000,323208182,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20221032695&bidseq=00&releaseYn=Y&taskClCd=1,,,,,한국농어촌공사전남지역본부장,,,,Y,"[1^2513189901^드론],[1^2513189901^드론],[1^2519154101^드론스테이션]",,4,공동수급불허,,,N,,,,,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.,,,1-3-2022-D150361-000067,80.495,2022-10-27 12:06:24,1200132,,103-4,"적격심사(추정가격 고시금액이상 10억원미만 제조입찰,고시금액이상 구매입찰)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32320818,,,,,,,,2513189901,드론,시비방제용 드론: 최대이륙중량 50kg,2,대,,2022-12-30 00:00:00,,납품장소 하차도,,,,
20220909043,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2022-09-13 13:41:04,미래스마트건설연구본부-9375,동적 SOC 데이터 수집을 위한 드론 운영 Set(드론/드론 스테이션/GCS) 구매,B090023,한국건설기술연구원,B090023,한국건설기술연구원,전자입찰,제한(총액)협상에의한계약,유현승,031-910-0456,mentalist@kict.re.kr,유현승,2022-09-25 18:00:00,공고서참조,,N,2022-09-13 20:00:00,2022-09-26 11:00:00,2022-09-26 12:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220909043::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220909043::00::1::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220909043::00::1::3,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220909043::00::1::4,,,,,,,20220909043-00_1663043954774_2. 동적 SOC 데이터 수집을 위한 드론 운영 Set(드론드론 스테이션GCS) 구매 공고문.hwp,20220909043-00_1663043954774_3. 과업지시서(이동플랫폼)_v1.0.hwp,20220909043-00_1663043954794_4. 제안요청서(이동플랫폼)_v1.0.hwp,20220909043-00_1663043954794_5. 입찰참가신청서(양식_외).hwp,,,,,,,N,,,,,,,,,,,비예가,,,84880620,77164200,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20220909043&bidseq=00&releaseYn=Y&taskClCd=1,,,,,한국건설기술연구원장,,,N,,[1^2519158601^드론스테이션],,4,공동수급불허,,,N,,,,,,없음,,1-3-2022-B090023-000104,,2022-09-13 13:41:05,1182796,,13,협상에 의한 낙찰자 결정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7716420,,,,,,,,2519158601,드론스테이션,과업지시서 참조,1,식,,2022-11-30 00:00:00,,기타사항참조,,,,
20220606725,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2022-06-16 19:34:44,32223034400,규제자유특구 인프라구축사업 이동형 드론스테이션 구매,1230145,조달청 강원지방조달청,Z008726,재단법인강원테크노파크,전자입찰,일반(총액)협상에의한계약,윤순제,070-4056-8424,soongdae@korea.kr,이길종,2022-06-29 18:00:00,공고서참조,,N,2022-06-28 14:00:00,2022-06-30 14:00:00,2022-06-30 15:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220606725::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220606725::00::2::2,,,,,,,,,20220606725-00_1655342678873_[공고서] 지방_협상_일반_자체평가.hwp,20220606725-00_1655342678873_제안요청서 등.zip,,,,,,,,,N,,,,,,,,,,,비예가,,,301776890,272230000,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20220606725&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대한민국정부강원지방조달청장,,,,N,[1^2519158601^드론스테이션],,,,,,N,,,,,,,,,,2022-06-16 19:34:44,1147687,N,13,협상에 의한 낙찰자 결정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27223000,,,,1,제안요청서,이동형 드론스테이션 제안요청서 수정본.hwp,https://rfp.g2b.go.kr:8426/cmm/FileDownload.do?atchFileId=000000829075&fileSn=1,2519158601,드론스테이션,수요기관 규격(사양서 참조),1,식,299453000,,90,현장설치도,,,,
20220436567,00,Y,조달청 또는 나라장터 자체 공고건,긴급,N,2022-04-22 11:10:04,32223017301,규제자유특구 인프라구축사업 고정형 드론스테이션 중앙조달 구매,1230145,조달청 강원지방조달청,Z008726,재단법인강원테크노파크,전자입찰,제한(총액)협상에의한계약,윤순제,070-4056-8424,soongdae@korea.kr,이길종,2022-05-03 18:00:00,공고서참조,,N,2022-05-02 14:00:00,2022-05-04 14:00:00,2022-05-04 15:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220436567::00::1::6,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220436567::00::2::4,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220436567::00::2::5,,,,,,,,20220436567-00_1650590992883_[재공고서] 지방_협상_자체평가.hwp,CP_20220402053-00_1649037590840_제안요청서_수정.hwp,CP_20220402053-00_1649037590840_세부사양서(최종).hwp,,,,,,,,N,,,,,,,,,,,비예가,,,199047470,179634618,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20220436567&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대한민국정부강원지방조달청장,,,,N,[1^2519158601^드론스테이션],,,,,,N,,,,,,,,,,2022-04-22 11:10:04,1115566,N,13,협상에 의한 낙찰자 결정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17963462,,,,1,제안요청서,[첨부1]고정형 드론 스테이션 제안요청서.hwp,https://rfp.g2b.go.kr:8426/cmm/FileDownload.do?atchFileId=000000773945&fileSn=1,2519158601,드론스테이션,수요기관 규격(세부사양서 참고),1,식,197598080,,60,과업내역에 따름,,,,
20220402053,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2022-04-04 14:35:39,32223017300,규제자유특구 인프라구축사업 고정형 드론스테이션 중앙조달 구매,1230145,조달청 강원지방조달청,Z008726,재단법인강원테크노파크,전자입찰,제한(총액)협상에의한계약,조윤정,02-590-8717,dns1201@korea.kr,이길종,2022-04-18 18:00:00,공고서참조,,N,2022-04-15 14:00:00,2022-04-19 14:00:00,2022-04-19 15:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220402053::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220402053::00::2::2,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20220402053::00::2::3,,,,,,,,20220402053-00_1649037590840_[공고서] 지방_협상_자체평가.hwp,20220402053-00_1649037590840_제안요청서_수정.hwp,20220402053-00_1649037590840_세부사양서(최종).hwp,,,,,,,,N,,,,,,,,,,,비예가,,,199047470,179634618,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20220402053&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대한민국정부강원지방조달청장,,,,N,[1^2519158601^드론스테이션],,,,,,N,,,,,,,,,,2022-04-04 14:35:39,1115566,N,13,협상에 의한 낙찰자 결정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17963462,,,,1,제안요청서,[첨부1]고정형 드론 스테이션 제안요청서.hwp,https://rfp.g2b.go.kr:8426/cmm/FileDownload.do?atchFileId=000000773945&fileSn=1,2519158601,드론스테이션,수요기관 규격(세부사양서 참고),1,식,197598080,,60,과업내역에 따름,,,,
20211211295,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2021-12-08 19:09:11,21216130400,드론 스테이션 구매 설치,1230130,조달청 부산지방조달청,3730000,울산광역시 울주군,전자시담,수의(총액)부품공급 설비확충,강호정,070-4056-6117,kang6975@korea.kr,박진우,2021-12-13 18:00:00,공고서참조,,N,2021-12-14 09:00:00,2021-12-14 11:00:00,2021-12-14 12:00:00,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,단일예가,1,0,129282800,116363636,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20211211295&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대한민국정부부산지방조달청장,,,N,,[1^2519150201^항공기지상정비브레이스],,,,,,N,,,,,,,,1-3-2021-3730000-000050,,2021-12-08 19:09:11,,Y,1-1,수의(최저가),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519150201,항공기지상정비브레이스,수요기관 규격(과업지시서 참조),1,식,128000000,,30,현장설치도,,,,
20201132933,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2020-11-25 14:37:48,22203185500,남동산단 통합관제센터 구축사업 이동형 드론관제 스테이션 제작 납품,1230133,조달청 인천지방조달청,ZT00449,인천스마트시티 주식회사,전자입찰,제한(총액),김홍섭,070-4056-7882,91hongseob@korea.kr,송상훈,2020-12-02 18:00:00,공고서참조,,N,2020-12-01 10:00:00,2020-12-03 10:00:00,2020-12-03 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20201132933::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20201132933::00::2::2,,,,,,,,,20201132933-00_1606225680547_입찰공고서_인천스마트시티주식회사_드론.hwp,20201132933-00_1606225680567_규격서 및 내역서.zip,,,,,,,,,Y,,,,,,,,,,,복수예가,15,4,403350000,363636364,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20201132933&bidseq=00&releaseYn=Y&taskClCd=1,,,,,대한민국정부인천지방조달청장,,,,Y,[1^2513189901^드론],,,,,,N,,,,,재입찰시 기존 예비가격을 사용하여 예정가격이 산정됩니다.,,,,87.995,2020-11-25 14:37:48,930561,N,105-8,중기간 경쟁물품 계약이행능력심사(조달청 공고-추정가격 5억미만 고시금액 이상),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513189901,드론,규격서에 따름,1,식,400000000,2020-12-31 00:00:00,,수요기관희망장소입고도,,,,
